user_id,product_id,rating,interaction_type,timestamp,weight,final_weight,user_idx,product_idx
user_462,fefa5030201821ea214f98927876c558,5,view,2023-04-14 14:00:00,0.3,0.3,0,7635
user_231,b75e2267451ff2305fb95334267f040d,5,view,2023-12-12 04:00:00,0.3,0.3,1,8915
user_638,4d8918ccd1831ee0849f867a4e3ebe14,5,wishlist,2023-09-16 17:00:00,0.5,0.5,2,16053
user_554,7b0b49ac4eab67779babf1693a2d40c5,5,purchase,2023-03-12 06:00:00,1.0,1.0,3,7481
user_909,0d22c2a0d91888b34ca937761040e945,5,view,2023-12-12 07:00:00,0.3,0.3,4,15946
user_92,1f9540cc5e4d80633b64e2e854d239d1,5,purchase,2023-03-12 10:00:00,1.0,1.0,5,14273
user_583,b637be962d9a207652372ca3d4bbe947,5,add_to_cart,2023-12-12 05:00:00,0.7,0.7,6,5475
user_291,fbe34a022e909548f395fc9a8320e8cb,5,view,2023-03-12 12:00:00,0.3,0.3,7,19329
user_633,9993de7e2bcced43dc9edb3b2c81f23d,5,view,2023-03-12 15:00:00,0.3,0.3,8,15080
user_745,a0a409c1ad5a2d8048f332005273b1da,5,wishlist,2023-06-05 15:00:00,0.5,0.5,9,16754
user_609,c168315c6e2009e1f34a4f736baf5a31,5,view,2023-09-17 02:00:00,0.3,0.3,10,14019
user_874,acbcf30ea2d8814519f4ae0a3b67e135,5,add_to_cart,2023-03-12 17:00:00,0.7,0.7,11,7506
user_92,73d152586b998baad2f38c43603f102c,5,purchase,2023-12-12 01:00:00,1.0,1.0,5,11052
user_286,ceb3bffa1919f895d13119cbfe04cd18,5,view,2023-12-12 00:00:00,0.3,0.3,12,6817
user_511,8d2b55c879b3a72a1c50ccfd4589d0d8,5,view,2023-09-17 03:00:00,0.3,0.3,13,855
user_128,1c4a36d75a2cf43c0c6ea3647e95d4ee,5,add_to_cart,2023-12-11 21:00:00,0.7,0.7,14,934
user_63,bd59f01525ff2fd65f81e0d6e8eb714e,5,wishlist,2023-03-12 03:00:00,0.5,0.5,15,1530
user_648,62316dacbd7d32e9ad2f96936f14e639,5,view,2023-06-05 16:00:00,0.3,0.3,16,9026
user_877,721bdccb0afb0817698668c69ee4845f,5,add_to_cart,2023-03-13 01:00:00,0.7,0.7,17,6888
user_510,3aef5345e56c9a9543242b0af9c6eeae,5,add_to_cart,2023-03-11 10:00:00,0.7,0.7,18,12796
user_943,e275e194a160ff32c9a7358c85dda17f,5,wishlist,2023-03-11 03:00:00,0.5,0.5,19,5883
user_164,82653317eb48d4d92240b23d2619a664,5,purchase,2023-12-13 14:00:00,1.0,1.0,20,17469
user_269,9bfaba59eb38495619a814335a134e7e,5,view,2023-03-11 05:00:00,0.3,0.3,21,4567
user_380,6d6b161687131e0e6f6461c65e0a7467,5,view,2023-06-06 09:00:00,0.3,0.3,22,14206
user_629,f3102e34f706287aa23deecf1ec04df3,5,view,2023-06-06 05:00:00,0.3,0.3,23,14052
user_259,c14501b08cc58e88e85ac6b3c91f6aa6,5,wishlist,2023-12-13 08:00:00,0.5,0.5,24,15404
user_203,7779c1040ca32cb5c1ece407fd569eae,5,add_to_cart,2023-03-11 12:00:00,0.7,0.7,25,19257
user_940,76fa5b2d4bff8eb7aaf67a3ecaf68929,5,view,2023-12-13 02:00:00,0.3,0.3,26,2632
user_80,d5ba3a7300f539a54601781651b4d37f,5,view,2023-06-06 01:00:00,0.3,0.3,27,8625
user_8,132602c523a03d6bf8ed550dc2faaa00,5,view,2023-09-16 05:00:00,0.3,0.3,28,18061
user_599,8c5cd324e8a74b511a1b058f061a8138,5,add_to_cart,2023-03-11 15:00:00,0.7,0.7,29,14583
user_989,8c00fee134c3efe34eedec24d979f545,5,purchase,2023-03-11 17:00:00,1.0,1.0,30,15459
user_332,61e46b31d700b03ab54d96280c8f867b,5,view,2023-12-13 05:00:00,0.3,0.3,31,19248
user_252,b559ee2d9ced8701b5ffab895f3ae4bc,5,purchase,2023-03-11 22:00:00,1.0,1.0,32,16535
user_828,b093ba7ba6579cf5babfe200e7f98b17,5,purchase,2023-09-17 05:00:00,1.0,1.0,33,10660
user_59,2f4deaae2c2ab9517f666d0de2b03c6c,5,view,2023-12-11 17:00:00,0.3,0.3,34,4599
user_407,f625fbbd54d22436c7cf6e1e442978ba,5,purchase,2023-12-13 15:00:00,1.0,1.0,35,17544
user_889,d8b2d43d8f489d2bbce91cd2bcd21bf3,5,purchase,2023-03-14 13:00:00,1.0,1.0,36,12549
user_269,6c1cd8364de2420c9ecd75c8e4059d34,5,add_to_cart,2023-06-04 03:00:00,0.7,0.7,21,15511
user_877,a8411fb8625faed9f1927c4078ffeafe,5,purchase,2023-12-10 10:00:00,1.0,1.0,17,7905
user_205,67334d2fd13b3bb08666cfe30062c257,5,view,2023-06-04 02:00:00,0.3,0.3,37,5521
user_445,f2c5db8708d81561c3e0ed511fbf9bc9,5,purchase,2023-09-18 03:00:00,1.0,1.0,38,15091
user_306,9da2ef74746d08912fce398eccd4f008,5,view,2023-06-03 23:00:00,0.3,0.3,39,16596
user_854,02a99955e018f312026ea6762f9b9bc7,5,purchase,2023-12-10 04:00:00,1.0,1.0,40,5024
user_587,98ccd190c70507c2ec9913c5ce77762d,5,purchase,2023-03-14 15:00:00,1.0,1.0,41,2731
user_516,ac0123a2115e82c55b2b2ba11312ea30,5,view,2023-09-18 01:00:00,0.3,0.3,42,2282
user_782,37c148287d013f63dfcd0da99c5927d3,5,purchase,2023-03-14 16:00:00,1.0,1.0,43,7593
user_471,e5bdae3a20776c9f43b3f3fd8b4042c1,5,view,2023-06-03 19:00:00,0.3,0.3,44,18305
user_568,f301f4f4e061035d634b1dec42b0795e,5,add_to_cart,2023-09-18 16:00:00,0.7,0.7,45,8466
user_741,5c6540c527425e962ba6ef5e0064f2e8,5,view,2023-09-18 17:00:00,0.3,0.3,46,2927
user_524,c5d485e061453dd8418a4a651971885b,5,view,2023-06-03 15:00:00,0.3,0.3,47,13444
user_182,5a63cfcda3678662e86127bf93383433,5,purchase,2023-03-14 22:00:00,1.0,1.0,48,19241
user_136,7f8a86b33d62440ad394cdd9a8f0cdd0,5,wishlist,2023-12-10 11:00:00,0.5,0.5,49,12865
user_337,a59dedcf144a2676e83075471b7501c7,5,view,2023-03-14 02:00:00,0.3,0.3,50,11235
user_868,4cd922eac428e7db2e00426b58c86f98,5,view,2023-12-11 13:00:00,0.3,0.3,51,14922
user_823,8bc0642ab515b06f29b45e925cbc2883,5,purchase,2023-03-13 12:00:00,1.0,1.0,52,16857
user_296,29ed2bfc858d73440120633782b0ddd2,5,add_to_cart,2023-03-13 05:00:00,0.7,0.7,53,9923
user_77,f3505382d13054b9f21cbbe44639cfb2,5,view,2023-03-13 06:00:00,0.3,0.3,54,6827
user_451,1bcf75f2f9cae1f0de161a3c1ff39f88,5,wishlist,2023-06-04 22:00:00,0.5,0.5,55,18218
user_816,009ece8fed867590cac80bd7ad854bcc,5,wishlist,2023-06-04 21:00:00,0.5,0.5,56,7859
user_184,ddf3cd2815221c3041a5ac74030e2e82,5,view,2023-06-04 19:00:00,0.3,0.3,57,15781
user_931,6736ed7ac8819fe5343a468cea04699e,5,purchase,2023-06-04 18:00:00,1.0,1.0,58,15787
user_394,15a8549e812d3708d3e2ec1c5f38737f,5,wishlist,2023-09-17 12:00:00,0.5,0.5,59,5210
user_173,6ad0a66cb1f7d7b53c614299ae9b04ff,5,add_to_cart,2023-12-10 14:00:00,0.7,0.7,60,14465
user_602,c2e81f4a00682895d0091640474a324c,5,add_to_cart,2023-06-04 12:00:00,0.7,0.7,61,2674
user_11,bb1ab0f3bfdb4270f1405cb9ca8e8544,5,purchase,2023-06-04 11:00:00,1.0,1.0,62,8744
user_136,086e9bc94fc4f43801db2be4a3d0e5ee,5,add_to_cart,2023-09-17 20:00:00,0.7,0.7,49,9957
user_110,acbfbce36db7c4ceb061c08003358c4b,5,view,2023-12-11 00:00:00,0.3,0.3,63,1803
user_899,f8f7a6123e0f9a60260f17f57f2159cf,5,view,2023-12-10 21:00:00,0.3,0.3,64,2126
user_686,9b1e9dfe819fcb6bf72884b1a5abceb9,5,add_to_cart,2023-09-18 00:00:00,0.7,0.7,65,18226
user_14,2dfc45798e307d9b711f18f6bd6dd163,5,purchase,2023-03-11 02:00:00,1.0,1.0,66,8528
user_136,37d02e85eecd26fd35d72383f237c393,5,view,2023-12-13 19:00:00,0.3,0.3,49,188
user_103,9030081f3283f15ed4f47db9d4a7a92d,5,wishlist,2023-12-09 15:00:00,0.5,0.5,67,11074
user_726,44f5d35aa1b6a30a8fec275861e5cb44,5,view,2023-12-16 14:00:00,0.3,0.3,68,15216
user_724,4676a8f96abb86c5d1dc5b06c7a11d95,5,add_to_cart,2023-09-13 07:00:00,0.7,0.7,69,14986
user_638,fd53c8ed19e77c3e65d767e6aee5fad7,5,wishlist,2023-06-08 18:00:00,0.5,0.5,2,14516
user_298,d7c234171c3839c0c116b5d568b05910,5,purchase,2023-03-07 22:00:00,1.0,1.0,70,2417
user_930,d84505573c6bd46f9329e7431345e904,5,add_to_cart,2023-03-07 23:00:00,0.7,0.7,71,11035
user_38,9b7a94993e75ef87a11328e082c77d77,5,purchase,2023-12-16 16:00:00,1.0,1.0,72,19570
user_781,bb41283056536d7af11e994ba4f9db81,5,view,2023-12-16 15:00:00,0.3,0.3,73,23
user_964,456b19b6ea5f306fd6a29b9a27c4689f,5,add_to_cart,2023-06-08 15:00:00,0.7,0.7,74,3511
user_740,7d1b3b69e271402ddafc63fc76468c18,5,purchase,2023-09-13 01:00:00,1.0,1.0,75,6867
user_830,f8ac02e152b35eb0c4da8dec16fac60e,5,purchase,2023-03-08 05:00:00,1.0,1.0,76,4795
user_422,5068cdf8bd7097adaa94828ee82b6b8c,5,purchase,2023-06-08 14:00:00,1.0,1.0,77,6137
user_942,68b32e026c109c1bae017d024dd8f590,5,view,2023-09-13 20:00:00,0.3,0.3,78,10703
user_574,e68843ec88d1a3cd2105bb1215f151e8,5,view,2023-06-08 11:00:00,0.3,0.3,79,5803
user_69,4649ec2bf43d7d3ba7935605c4c52b10,5,view,2023-09-13 21:00:00,0.3,0.3,80,19341
user_912,c250e982bd266ca0d96e539e1ce45546,5,wishlist,2023-09-14 02:00:00,0.5,0.5,81,10996
user_162,0834e7c74ab6d92facb46e298690560d,5,add_to_cart,2023-06-08 23:00:00,0.7,0.7,82,16247
user_166,b7843ac1a6003ae80423681de300b47d,5,view,2023-06-09 03:00:00,0.3,0.3,83,13582
user_855,66b17d68e8773683cf77c7d79c20d890,5,view,2023-12-16 07:00:00,0.3,0.3,84,8437
user_901,e5eef0f0d2448da78483ac41343720ae,5,view,2023-09-12 08:00:00,0.3,0.3,85,19489
user_513,87629de942851c3615e815ca127f7eec,5,add_to_cart,2023-12-17 22:00:00,0.7,0.7,86,4517
user_541,f5758d843ca3d967148c7fd6a1934490,5,add_to_cart,2023-03-06 18:00:00,0.7,0.7,87,6636
user_797,f8194d933847f04d442b4f13f27f9446,5,wishlist,2023-09-12 03:00:00,0.5,0.5,88,6996
user_595,f388b8b71e8466e6658e539ecb167372,5,view,2023-12-17 21:00:00,0.3,0.3,89,5048
user_24,2544d838e3760bd837d3a9b7aeb529f5,5,purchase,2023-03-06 22:00:00,1.0,1.0,90,11679
user_605,282242e6dc0435215f21542673eae66f,5,view,2023-09-12 06:00:00,0.3,0.3,91,1012
user_843,916458a4e8020c1beecbbebe4e165b48,5,purchase,2023-06-09 10:00:00,1.0,1.0,92,14635
user_52,7666b33fc57297c0eba0d61e39451ba0,5,add_to_cart,2023-09-12 22:00:00,0.7,0.7,93,1327
user_694,3c409b419afd4e43a0dffe0cf6fa4f16,5,purchase,2023-09-12 16:00:00,1.0,1.0,94,19575
user_786,ee27bc4719ae58c5cb3f1dede61fcf54,5,purchase,2023-12-17 07:00:00,1.0,1.0,95,17045
user_167,63bc43c0000e71eb11bfafd2f46214a4,5,purchase,2023-09-12 17:00:00,1.0,1.0,96,3515
user_216,d9135f375717f6964ff0e43f94318dc4,5,add_to_cart,2023-06-09 07:00:00,0.7,0.7,97,17438
user_710,2cc24452688ed35dfbff566e22e53c95,5,purchase,2023-03-07 10:00:00,1.0,1.0,98,18078
user_553,62fd3a1e62f8a44b07e57b6caef094ef,5,view,2023-09-12 21:00:00,0.3,0.3,99,6764
user_585,ee7ce6b62e2a1049dd689562063917b4,5,view,2023-09-14 05:00:00,0.3,0.3,100,5618
user_783,acbb6273b881a58f8eeb4224679be883,5,add_to_cart,2023-06-08 01:00:00,0.7,0.7,101,1034
user_934,6471e4684ef4e1cd8f62677719b3b75e,5,view,2023-03-10 20:00:00,0.3,0.3,102,15656
